Company,Category,FileYear,FilenameYears,File,Filename,ValidPdf,Pages,Title,YearsInFirstPages,FirstText,SizeBytes,SizeMB,Error,Path
Apple,E / Environmental,2026,2026,Apple\Apple E 2026.pdf,Apple E 2026.pdf,True,113,Apple 2026 Environmental Progress Report,2025;2030,COVERING FISCAL YEAR 2025 Environmental Progress Report Contents Environmental initiatives Apple 2030 9 Approach 12 Design and materials 21 Electricity 31 Direct GHG emissions 34 Nature and carbon Resources 39 Approach 41 Product longevity 46 Material recovery 51 Water 56 Zero waste Smarter chemistry 61 Approach 63 Mapping 65 Assessment 67 Innovation Introduction 3 Reflections 4 Report highlights 5 Goals and progress,23549534,22.46,,C:\Users\Jhj\Downloads\esg_reports\Apple\Apple E 2026.pdf
Apple,G / Governance Proxy,2022,2022,Apple\Apple G 2022 .pdf,Apple G 2022 .pdf,True,139,printmgr file,2054,"UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 SCHEDULE 14A Proxy Statement Pursuant to Section 14(a) of the Securities Exchange Act of 1934 (Amendment No. ) Filed by the Registrant x Filed by a party other than the Registrant Check the appropriate box: Preliminary Proxy Statement Confidential, for Use of the Commission Only (as permitted by Rule 14a-6(e)(2)) x Definitive Proxy Statement Defi",754563,0.72,,C:\Users\Jhj\Downloads\esg_reports\Apple\Apple G 2022 .pdf
Apple,G / Governance Proxy,2023,2023,Apple\Apple G 2023.pdf,Apple G 2023.pdf,True,113,Apple_2023_Proxy_Statement__HD (4).pdf,2054,"UNITED ST A TES SECURITIES AND EXCHANGE COMMISSION Washington, DC 20549 SCHEDULE 14A PROXY ST A TEMENT PURSUANT TO SECTION 14(a) OF THE SECURITIES EXCHANGE ACT OF 1934 (Amendment No. ) Filed by the Registrant Filed by a Party other than the Registrant Check the appropriate box: Preliminary Proxy Statement Confidential, for Use of the Commission Only (as permitted by Rule 14a-6(e)(2)) Definitive Proxy Statement Defini",818463,0.78,,C:\Users\Jhj\Downloads\esg_reports\Apple\Apple G 2023.pdf
Apple,G / Governance Proxy,2024,2024,Apple\Apple G 2024.pdf,Apple G 2024.pdf,True,116,HD-export,2024,Notice of 2024 Annual Meeting of Shareholders and Proxy Statement Apple Inc.,2162264,2.06,,C:\Users\Jhj\Downloads\esg_reports\Apple\Apple G 2024.pdf
Apple,G / Governance Proxy,2025,2025,Apple\Apple G 2025.pdf,Apple G 2025.pdf,True,108,434032-PDF_EXPORT_LD-5978d74c-63dc-4306-b788-876312c57bfd.pdf,2025,g Apple Inc. Notice of 2025 Annual Meeting of Shareholders and Proxy Statement,3803303,3.63,,C:\Users\Jhj\Downloads\esg_reports\Apple\Apple G 2025.pdf
Apple,G / Governance Proxy,2026,2026,Apple\Apple G 2026.pdf,Apple G 2026.pdf,True,106,AAPL_DEF 14A_2026_WO139_EDGAR_00_Courtesy PDF 3.pdf,2026,Notice of 2026 Annual Meeting of Shareholders and Proxy Statement Apple Inc.,2376475,2.27,,C:\Users\Jhj\Downloads\esg_reports\Apple\Apple G 2026.pdf
Apple,S / Supply Chain,2022,2022,Apple\Apple S 2022.pdf,Apple S 2022.pdf,True,103,,2022,"2022 Annual Progress Report People and Environment in Our Supply Chain Tim Cook CEO “At Apple, we are constantly innovating in the technology we make and in how we make it — with respect for people’s rights, for their health, and for the planet we share.”",22264131,21.23,,C:\Users\Jhj\Downloads\esg_reports\Apple\Apple S 2022.pdf
Apple,S / Supply Chain,2023,2023,Apple\Apple S 2023.pdf,Apple S 2023.pdf,True,97,People and Environment in Our Supply Chain,2023,2023 年進度報告 我們供應鏈中的 人員與環境 2 Tim Cook | 執行長 「我們認為世界上 最出色的產品應該是 對 世 界 最 有 益 的 產 品。」,29467459,28.1,,C:\Users\Jhj\Downloads\esg_reports\Apple\Apple S 2023.pdf
Apple,S / Supply Chain,2024,2024,Apple\Apple S 2024.pdf,Apple S 2024.pdf,True,62,People and Environment in Our Supply Chain,2024,2024 ANNUAL PROGRESS REPORT People and Environment in Our Supply Chain 2 Tim Cook | CEO “We think that the best products in the world ought to be the best products for the world.”,15570797,14.85,,C:\Users\Jhj\Downloads\esg_reports\Apple\Apple S 2024.pdf
Apple,S / Supply Chain,2025,2025,Apple\Apple S 2025.pdf,Apple S 2025.pdf,True,57,People and Environment in Our Supply Chain,2025,"2025 Annual Progress Report People and Environment in Our Supply Chain Material recovery, United States Materials recovered by Daisy, Apple’s iPhone disassembly robot, United States Aluminum recycling, China mainland iPad assembly, Vietnam Apple Watch assembly, Vietnam Vocational Education for Persons with Disabilities, China mainland Robotics training, India Component manufacturing, China mainlandLogistics and repai",15179965,14.48,,C:\Users\Jhj\Downloads\esg_reports\Apple\Apple S 2025.pdf
Apple,S / Supply Chain,2026,2026,Apple\Apple S 2026.pdf,Apple S 2026.pdf,True,25,People and Environment in Our Supply Chain,2026,"People and Environment in Our Supply Chain 2026 Annual Update Apple Watch assembly, China mainland Logistics and product repair, United Arab Emirates Component manufacturing, Vietnam Mac mini assembly, China mainland Semiconductor manufacturing, United States Glass manufacturing, United States iMac assembly, Ireland Semiconductor manufacturing, United States iPhone assembly, India Packaging manufacturing, Vietnam Mob",14683387,14.0,,C:\Users\Jhj\Downloads\esg_reports\Apple\Apple S 2026.pdf
BAC,ESG / Sustainability,2022,2022,BAC\BAC_ESG_2022.pdf,BAC_ESG_2022.pdf,True,63,Task Force on Climate-Related Financial Disclosures Report,,Task Force on Climate-related Financial Disclosures (TCFD) Report Managing our Future Bank of America’s Task Force on Climate- related Financial Disclosures (TCFD) Report Cautionary Information and Forward-Looking Statements 2 Letter from the CEO 3 Introduction 4 Governance 7 Board of Directors Oversight 7 Management Oversight 7 Enterprise Functional Teams 8 Global Coverage 9 Performance and Remuneration 10 Stakehold,3807812,3.63,,C:\Users\Jhj\Downloads\esg_reports\BAC\BAC_ESG_2022.pdf
BAC,ESG / Sustainability,2023,2023,BAC\BAC_ESG_2023.pdf,BAC_ESG_2023.pdf,True,73,Managing our Transition to a Sustainable Future,2023,Managing our Transition to a Sustainable Future 2023 Task Force on Climate-related Financial Disclosures (TCFD) Report TABLE OF CONTENTS CAUTIONARY INFORMATION AND FORWARD-LOOKING STATEMENTS 3 . . . . . . . . . . . . . . . . . . . . . . MESSAGE FROM THE CEO 4 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . INTRODUCTION 5 . . . . . . . . . . . . .,8195832,7.82,,C:\Users\Jhj\Downloads\esg_reports\BAC\BAC_ESG_2023.pdf
BAC,ESG / Sustainability,2024,2024,BAC\BAC_ESG_2024.pdf,BAC_ESG_2024.pdf,True,124,2024 Sustainability at Bank of America,2024,"Sustainability at Bank of America Published on September 30, 2024 Table of Contents 2 MESSAGE FROM THE CEO ................................................................................... 4 INTRODUCTION ................................................................................................... 5 Our Company and Eight Lines of Business ....................................................... 6 Environmental ",19642013,18.73,,C:\Users\Jhj\Downloads\esg_reports\BAC\BAC_ESG_2024.pdf
BAC,ESG / Sustainability,2025,2025,BAC\BAC_ESG_2025.pdf,BAC_ESG_2025.pdf,True,62,2025 Sustainability Report,2025,"SUSTAINABILITY AT BANK OF AMERICA Published December 18, 2025 CAUTIONARY INFORMATION............................................................................................ 3 MESSAGE FROM THE CEO................................................................................................. 4 SUSTAINABILITY APPROACH ........................................................................................... 5 Our",14295029,13.63,,C:\Users\Jhj\Downloads\esg_reports\BAC\BAC_ESG_2025.pdf
COST,ESG / Sustainability,2022,2022,COST\COST_ESG_2022.pdf,COST_ESG_2022.pdf,True,176,Sustainability Commitment - Compiled Version,2022,"Sustainability Commitment 2022 People & Communities Managing Water Inclusion Our Water management Systems Our STAR ProgramOur Goals New Approaches in LandscapingDiversity at Costco Employee Development Wastewater & stormwater Plans Water Savings in Our Chicken PlantEmployee Development Goals Car WashesPay & Beneﬁts Minimizing WasteWorkforce Tenure & Development Diverting Waste from LandﬁllCulture, Ethics & Open Door ",63073767,60.15,,C:\Users\Jhj\Downloads\esg_reports\COST\COST_ESG_2022.pdf
COST,ESG / Sustainability,2023,2023,COST\COST_ESG_2023.pdf,COST_ESG_2023.pdf,True,162,2023 Consolidated Commitment,2023,"Sustainability Commitment 2023 2023 Highlights People & Communities Inclusion Our Goals for an Inclusive Workplace Diversity at Costco Employee Development Employee Development Goals Pay & Beneﬁts Workforce Tenure & Development Culture, Ethics & Open Door Communities Our Approach Charitable Contributions Community Investment Food Donations & Food Security Employee Volunteering Health Care in the Community Supplier Di",55109761,52.56,,C:\Users\Jhj\Downloads\esg_reports\COST\COST_ESG_2023.pdf
COST,ESG / Sustainability,2024,2024,COST\COST_ESG_2024.pdf,COST_ESG_2024.pdf,True,185,,2024,"Sustainability Commitment 2024 2024 Highlights People & Communities Inclusion Our Goals for an Inclusive Workplace Diversity at Costco Employee Development Employee Development Goals Pay & Beneﬁts Workforce Tenure & Development Culture, Ethics & Open Door Communities Our Approach Charitable Contributions Community Investment Food Donations & Food Security Non Food Donations Employee Volunteering Health Care in the Co",46938811,44.76,,C:\Users\Jhj\Downloads\esg_reports\COST\COST_ESG_2024.pdf
COST,ESG / Sustainability,2025,2025,COST\COST_ESG_2025.pdf,COST_ESG_2025.pdf,True,86,,2025,"2025 Annual Sustainability Report 2 Overview People Climate Biodiversity and Nature KPIs and Metrics AppendixResource Management Costco 2025 Sustainability Report Sales growth YOY (USD) +8% YoY Our Mission Continually provide our members with quality goods and services at the lowest possible prices. Number of countries and regions 14 Number of employees globally 341,000 Number of members globally 145.2 million Net sa",11576743,11.04,,C:\Users\Jhj\Downloads\esg_reports\COST\COST_ESG_2025.pdf
CVX,ESG / Sustainability,2022,2022,CVX\CVX_ESG_2022.pdf,CVX_ESG_2022.pdf,True,84,2022 Corporate Sustainability Report,2022,"enabling human progress 2022 corporate sustainability report delivering the future of energy Over 140 years of industry leadership has given us a deep understanding of the need to stay focused on what matters most – afordable, reliable, ever-cleaner energy that enables human progress. At Chevron, our strategy is to leverage our strengths to safely deliver lower carbon energy to a growing world. We intend to provide l",7674661,7.32,,C:\Users\Jhj\Downloads\esg_reports\CVX\CVX_ESG_2022.pdf
CVX,ESG / Sustainability,2023,2023,CVX\CVX_ESG_2023.pdf,CVX_ESG_2023.pdf,True,62,2023 Corporate Sustainability Report,2023,"2023 corporate sustainability report Energy for a growing world Photo: Chevron’s Rockies business unit is the largest oil and natural gas producer in Colorado. We’re working to deliver energy responsibly with next-gen tankless facilities that, compared with older designs, reduce more than 90% of greenhouse gas emissions from our Colorado operations.",8055013,7.68,,C:\Users\Jhj\Downloads\esg_reports\CVX\CVX_ESG_2023.pdf
CVX,ESG / Sustainability,2024,2024,CVX\CVX_ESG_2024.pdf,CVX_ESG_2024.pdf,True,32,2024 Corporate Sustainability Highlights,2024;2025,2024 corporate sustainability highlights 1 Chevron 2024 Corporate Sustainability Highlights (May 2025) 2024 highlights overview .................................................................................2 lower carbon .........................................................................3 environment ..........................................................................4 safety ..........................,5578385,5.32,,C:\Users\Jhj\Downloads\esg_reports\CVX\CVX_ESG_2024.pdf
ENPH,ESG / Sustainability,2022,2022,ENPH\ENPH_ESG_2022.pdf,ENPH_ESG_2022.pdf,True,96,,2022,"Environmental, Social, and Governance Report 2022 Enphase Energy, Inc. 2 Environmental, Social, and Governance Report 2022 Enphase Energy, Inc.",23104223,22.03,,C:\Users\Jhj\Downloads\esg_reports\ENPH\ENPH_ESG_2022.pdf
ENPH,ESG / Sustainability,2023,2023,ENPH\ENPH_ESG_2023.pdf,ENPH_ESG_2023.pdf,True,102,,2023,"ENVIRONMENTAL, SOCIAL, AND GOVERNANCE REPORT 2023 1 Environmental Social and Governance Report 2023 Enphase Energy, Inc. 2 Environmental Social and Governance Report 2023 Enphase Energy, Inc.",15903413,15.17,,C:\Users\Jhj\Downloads\esg_reports\ENPH\ENPH_ESG_2023.pdf
ENPH,ESG / Sustainability,2024,2024,ENPH\ENPH_ESG_2024.pdf,ENPH_ESG_2024.pdf,True,39,,2024,"SUSTAINABILITY REPORT 2024 1 Sustainability Report 2024 Enphase Energy, Inc. SUSTAINABILITY REPORT 2024 32 Sustainability Report 2024 Enphase Energy, Inc. Contents A letter from our President and CEO Enphase in numbers Our purpose Our core values Enphase culture playbook Our technology Financial sustainability E1. Our approach E2. Clean ener gy production E3. Energy and emissions E4. Product quality E5. Responsible s",5116324,4.88,,C:\Users\Jhj\Downloads\esg_reports\ENPH\ENPH_ESG_2024.pdf
GOOGL,ESG / Sustainability,2022,2022,GOOGL\GOOGL_ESG_2022.pdf,GOOGL_ESG_2022.pdf,True,17,Google Environmental Report 2022,2021;2022,"Environmental Report 2022 Table of contents 1 About this report 2 Our approach 5 Performance highlights 8 Progress against targets 11 Environmental data 14 Appendix Endnotes Glossary About this report Google’s 2022 Environmental Report features data, performance highlights, and progress against our targets from our 2021 fiscal year (January 1 to December 31, 2021). It also mentions notable targets set in 2022. This r",1981241,1.89,,C:\Users\Jhj\Downloads\esg_reports\GOOGL\GOOGL_ESG_2022.pdf
GOOGL,ESG / Sustainability,2023,2023,GOOGL\GOOGL_ESG_2023.pdf,GOOGL_ESG_2023.pdf,True,104,2023 Environmental Report,2022;2023,"Environmental Report 2023 What’s inside About this report Google’s 2023 Environmental Report provides an overview of our environmental sustainability strategy and targets and our annual progress towards them. 1 This report features data, performance highlights, and progress against our targets from our 2022 fiscal year (January 1 to December 31, 2022). It also mentions some notable achievements from the first half of",13666218,13.03,,C:\Users\Jhj\Downloads\esg_reports\GOOGL\GOOGL_ESG_2023.pdf
GOOGL,ESG / Sustainability,2024,2024,GOOGL\GOOGL_ESG_2024.pdf,GOOGL_ESG_2024.pdf,True,86,Google 2024 Environmental Report - Google Sustainability,2023;2024,"Environmental Report 2024 12 1 What’s inside About this report Google’s 2024 Environmental Report provides an overview of our environmental sustainability strategy, our targets, and our annual progress toward them. Throughout this report, we use the term “sustainability” to refer to environmental sustainability. This report features data, performance highlights, and progress against our targets from our 2023 fiscal y",14845245,14.16,,C:\Users\Jhj\Downloads\esg_reports\GOOGL\GOOGL_ESG_2024.pdf
GOOGL,ESG / Sustainability,2025,2025,GOOGL\GOOGL_ESG_2025.pdf,GOOGL_ESG_2025.pdf,True,120,Google 2025 Environmental Report - Google Sustainability,2024;2025,"Environmental Report 2025 Contents 4 Introduction 4 Foreword 7 2024 highlights 9 G lobal challenges and dependencies 10 Age of AI 12 Powering prosperity: The economic upside of AI and the energy required to power it 13 Optimal scenario: AI’s net-positive potential 14 AI efficiency gains: Improvements across models, TPUs, and infrastructure 16 Piece of the puzzle: Situating AI in our overall electricity growth 17 Ener",19452765,18.55,,C:\Users\Jhj\Downloads\esg_reports\GOOGL\GOOGL_ESG_2025.pdf
GS,ESG / Sustainability,2022,2022,GS\GS_ESG_2022.pdf,GS_ESG_2022.pdf,True,124,,2022,"Navigating Complexity A Client-Centric Approach to Sustainability Goldman Sachs 2022 Sustainability Report How we balance short-term needs with long-term ambitions. How we help address challenges, close gaps and unlock opportunities to advance climate transition and drive inclusive growth. It’s how we manage risk and create value for our clients, our firm, our shareholders and other stakeholders, moving forward. In h",14901112,14.21,,C:\Users\Jhj\Downloads\esg_reports\GS\GS_ESG_2022.pdf
GS,ESG / Sustainability,2023,2023,GS\GS_ESG_2023.pdf,GS_ESG_2023.pdf,True,97,Goldman Sachs 2023 Sustainability Report,2023,GOLDMAN SACHS 2023 SUSTAINABILITY REPORT Driving Long-Term Value: Our Client-Centric Sustainability Strategy GOLDMAN SACHS 2023 SUSTAINABILITY REPORT 3 Contents Letter From Our Chairman and CEO 5 Introduction 6 About Goldman Sachs 7 Historical Sustainability Milestones at Goldman Sachs 9 Our Sustainable Finance Strategy 14 Our Sustainable Finance Framework and Sustainable Finance Commitment 16 Thematic Opportunities ,8693380,8.29,,C:\Users\Jhj\Downloads\esg_reports\GS\GS_ESG_2023.pdf
GS,AWM TCFD supplemental,2024,2024,GS\GS_ESG_2024_AWM_TCFD.pdf,GS_ESG_2024_AWM_TCFD.pdf,True,67,Task Force On Climate-Related Financial Disclosures 2024,2024,Task Force on Climate-Related Financial Disclosures Asset & Wealth Management TCFD Report 2024 Table of Contents 3. Section 1: Introduction 4 Introduction from Our Global Head of Asset & Wealth Management 5 About Asset & Wealth Management 6 Commentary on This Report 7 Definition of Climate-Related Risks 7 Compliance Statements 8. Section 2: Executive Summary 9 Report Structure 11. Section 3: Governance 12 Governance ,73608816,70.2,,C:\Users\Jhj\Downloads\esg_reports\GS\GS_ESG_2024_AWM_TCFD.pdf
GS,ESG / Sustainability,2025,2025,GS\GS_ESG_2025.pdf,GS_ESG_2025.pdf,True,57,,2025,Goldman Sachs Sustainability Report Delivering Market-Based Solutions for Our Clients DECEMBER 2025 Table of Contents 3 Letter From Our Chairman and CEO 4 About Goldman Sachs and This Report 5 Historical Sustainability Timeline 6 Our Approach to Sustainable Finance 7 Our Approach to Sustainable Finance 8 Our Sustainable Finance Activity 10 Delivering Market-Based Solutions for Our Clients 14 Areas of Opportunity for ,14253744,13.59,,C:\Users\Jhj\Downloads\esg_reports\GS\GS_ESG_2025.pdf
JNJ,ESG / Sustainability,2022,2022,JNJ\JNJ_ESG_2022.pdf,JNJ_ESG_2022.pdf,True,114,2022 Health for Humanity Report,2022,"2022 Health for Humanity Report Scientist Jan G. is shown working in Johnson & Johnson’s molecule library, which stores more than 1.7 million unique compounds. Our scientists can access this library to order compounds for R&D activities at Johnson & Johnson. Photo by Frederik Beyens. 2022 Health for Humanity Report 2 2 Diverse Surgeon Initiative 2.0 participants Ryan Randle, M.D., and Michelle Salazar, M.D., M.H.Sc.,",58685368,55.97,,C:\Users\Jhj\Downloads\esg_reports\JNJ\JNJ_ESG_2022.pdf
JNJ,ESG / Sustainability,2023,2023,JNJ\JNJ_ESG_2023.pdf,JNJ_ESG_2023.pdf,True,72,,2023,"2023 Health for Humanity Report The Health Care Company Arti Gajanan Modshe, a student in the Indian Red Cross Society Auxiliary Nurses and Midwives (ANM) Training Program, supported by the Johnson & Johnson Foundation, puts her training to work in a home visit in rural India Our approach Scientists at work at a J&J Innovative Medicine laboratory in China",80736114,77.0,,C:\Users\Jhj\Downloads\esg_reports\JNJ\JNJ_ESG_2023.pdf
JNJ,ESG / Sustainability,2024,2024,JNJ\JNJ_ESG_2024.pdf,JNJ_ESG_2024.pdf,True,55,,2024,"2024 Health for Humanity Report A Johnson & Johnson associate works with a mini-bioreactor. 2 2024 Health for Humanity Report Contents AI Artificial intelligence CHW Community health worker ESG Environmental, social and governance FDA U.S. Food and Drug Administration GHG Greenhouse gas or gases HCP Healthcare professional LMICs Low- and middle-income countries WHO World Health Organization Please find below a glossa",22280328,21.25,,C:\Users\Jhj\Downloads\esg_reports\JNJ\JNJ_ESG_2024.pdf
JPM,ESG / Sustainability,2022,2022,JPM\JPM_ESG_2022.pdf,JPM_ESG_2022.pdf,True,74,2022 Environmental Social Governance Report,2022,2022 Environmental Social Governance Report Contents Introduction 1 Message from Our Chairman 2 Company at a Glance 3 Our Approach to ESG 5 Feat ure: $2.5T Sustainable Development Target 6 Environment 11 Our Approach to Environmental Sustainability 12 Scaling Green Solutions 13 Meeting Needs Responsibly 17 Minimizing Our Operational Impact 18 So cial 24 Fe ature: Our Racial Equity Commitment 25 Inclusive Growth 30 Di,7474626,7.13,,C:\Users\Jhj\Downloads\esg_reports\JPM\JPM_ESG_2022.pdf
JPM,ESG / Sustainability,2023,2023,JPM\JPM_ESG_2023.pdf,JPM_ESG_2023.pdf,True,88,2023 Environmental Social Governance Report,2023,"2023 Environmental Social Governance Report We believe in free enterprise. Notes A NOTE ON OUR BUSINESS We don’t “boycott.” A NOTE ON OUR TARGETS JPMorgan Chase & Co. provides fnancial services for individuals and industries across geographies — regardless of political, social or religious viewpoints. We deal in facts and don’t describe our policies, procedures or progress diferently based on who’s asking. Our ambiti",7143472,6.81,,C:\Users\Jhj\Downloads\esg_reports\JPM\JPM_ESG_2023.pdf
JPM,ESG / Sustainability,2024,2024,JPM\JPM_ESG_2024.pdf,JPM_ESG_2024.pdf,True,66,2024 Sustainability Report,2024,"Sustainability Report 2024 Governance 42 Oversight and management of Environmental, Social and Governance related matters 43 Business ethics 44 Accountability, transparency and engagement 46 Risk management 49 Managing climate risks 50 Managing nature and social risks 57 Managing financial crime and corruption risks 58 Cybersecurity and data privacy 58 Appendices 60 Restricted activities, and client activities and lo",9382251,8.95,,C:\Users\Jhj\Downloads\esg_reports\JPM\JPM_ESG_2024.pdf
MS,ESG / Sustainability,2022,2022,MS\MS_ESG_2022.pdf,MS_ESG_2022.pdf,True,115,,2022,"2022 ESG Report: Diversity & Inclusion, Climate, and Sustainability 3 From Our CEO 4 Introduction 5 Our Business 6 About This Report 7 Approach to ESG 8 ESG Governance 11 2022 ESG Highlights 13 People and Culture 14 Our Culture 16 Benefits and Wellbeing 18 Our Compensation Practices 20 Supporting Communities Where We Live and Work 23 Diversity and Inclusion 24 Leadership Statement and D&I Strategy 26 Workforce 32 Soc",15179911,14.48,,C:\Users\Jhj\Downloads\esg_reports\MS\MS_ESG_2022.pdf
MS,ESG / Sustainability,2023,2023,MS\MS_ESG_2023.pdf,MS_ESG_2023.pdf,True,93,,2023,2023 ESG Report TABLE OF CONTENTS 3 From Our CEO 4 Introduction 4 Our Business 5 About This Report 6 Our Approach to ESG 7 2023 ESG Highlights 8 Sustainable Finance 8 Sustainable Finance Target 11 Institutional Securities 15 Wealth Management 20 Investment Management 24 Community Development Finance 26 Inclusive Ventures Lab 27 Institute for Sustainable Investing 28 Human Capital 28 Introduction 29 Building Our Workf,9589979,9.15,,C:\Users\Jhj\Downloads\esg_reports\MS\MS_ESG_2023.pdf
